,index,#calls,#agents
8/11/2019,4:30:00,4,4
8/11/2019,5:00:00,4,4
8/11/2019,5:30:00,5,5
8/11/2019,6:00:00,9,6
8/11/2019,6:30:00,14,7
8/11/2019,7:00:00,21,9
8/11/2019,7:30:00,31,12
8/11/2019,8:00:00,48,14
8/11/2019,8:30:00,63,18
8/11/2019,9:00:00,99,25
8/11/2019,9:30:00,108,27
8/11/2019,10:00:00,121,32
8/11/2019,10:30:00,117,32
8/11/2019,11:00:00,121,32
8/11/2019,11:30:00,113,31
8/11/2019,12:00:00,128,32
8/11/2019,12:30:00,124,29
8/11/2019,13:00:00,112,27
8/11/2019,13:30:00,108,27
8/11/2019,14:00:00,112,27
8/11/2019,14:30:00,103,26
8/11/2019,15:00:00,120,28
8/11/2019,15:30:00,101,26
8/11/2019,16:00:00,100,25
8/11/2019,16:30:00,93,23
8/11/2019,17:00:00,93,23
8/11/2019,17:30:00,81,22
8/11/2019,18:00:00,80,23
8/11/2019,18:30:00,82,25
8/11/2019,19:00:00,75,23
8/11/2019,19:30:00,73,22
8/11/2019,20:00:00,61,17
8/11/2019,20:30:00,58,17
8/11/2019,21:00:00,64,18
8/11/2019,21:30:00,57,17
8/11/2019,22:00:00,48,14
8/11/2019,22:30:00,40,13
8/11/2019,23:00:00,29,10
8/11/2019,23:30:00,25,10
8/12/2019,0:00:00,30,10
8/12/2019,0:30:00,14,7
8/12/2019,1:00:00,13,6
8/12/2019,1:30:00,11,6
8/12/2019,2:00:00,7,5
8/12/2019,2:30:00,6,5
8/12/2019,3:00:00,4,4
8/12/2019,3:30:00,3,4
8/12/2019,4:00:00,3,4
8/12/2019,4:30:00,4,4
8/12/2019,5:00:00,4,4
8/12/2019,5:30:00,5,5
8/12/2019,6:00:00,9,6
8/12/2019,6:30:00,14,7
8/12/2019,7:00:00,21,9
8/12/2019,7:30:00,31,12
8/12/2019,8:00:00,48,14
8/12/2019,8:30:00,63,18
8/12/2019,9:00:00,99,25
8/12/2019,9:30:00,108,27
8/12/2019,10:00:00,121,32
8/12/2019,10:30:00,117,32
8/12/2019,11:00:00,121,32
8/12/2019,11:30:00,113,31
8/12/2019,12:00:00,128,32
8/12/2019,12:30:00,124,29
8/12/2019,13:00:00,112,27
8/12/2019,13:30:00,108,27
8/12/2019,14:00:00,112,27
8/12/2019,14:30:00,103,26
8/12/2019,15:00:00,120,28
8/12/2019,15:30:00,101,26
8/12/2019,16:00:00,100,25
8/12/2019,16:30:00,93,23
8/12/2019,17:00:00,93,23
8/12/2019,17:30:00,81,22
8/12/2019,18:00:00,80,23
8/12/2019,18:30:00,82,25
8/12/2019,19:00:00,75,23
8/12/2019,19:30:00,73,22
8/12/2019,20:00:00,61,17
8/12/2019,20:30:00,58,17
8/12/2019,21:00:00,64,18
8/12/2019,21:30:00,57,17
8/12/2019,22:00:00,48,14
8/12/2019,22:30:00,40,13
8/12/2019,23:00:00,29,10
8/12/2019,23:30:00,25,10
8/13/2019,0:00:00,27,10
8/13/2019,0:30:00,20,9
8/13/2019,1:00:00,16,7
8/13/2019,1:30:00,12,6
8/13/2019,2:00:00,9,6
8/13/2019,2:30:00,7,5
8/13/2019,3:00:00,5,5
8/13/2019,3:30:00,4,4
8/13/2019,4:00:00,4,4
8/13/2019,4:30:00,4,4
8/13/2019,5:00:00,6,5
8/13/2019,5:30:00,8,5
8/13/2019,6:00:00,13,6
8/13/2019,6:30:00,23,9
8/13/2019,7:00:00,31,12
8/13/2019,7:30:00,51,15
8/13/2019,8:00:00,99,25
8/13/2019,8:30:00,161,36
8/13/2019,9:00:00,223,48
8/13/2019,9:30:00,256,55
8/13/2019,10:00:00,261,64
8/13/2019,10:30:00,264,64
8/13/2019,11:00:00,275,66
8/13/2019,11:30:00,262,64
8/13/2019,12:00:00,248,54
8/13/2019,12:30:00,244,52
8/13/2019,13:00:00,266,56
8/13/2019,13:30:00,278,58
8/13/2019,14:00:00,258,55
8/13/2019,14:30:00,256,55
8/13/2019,15:00:00,256,55
8/13/2019,15:30:00,245,52
8/13/2019,16:00:00,236,50
8/13/2019,16:30:00,223,48
8/13/2019,17:00:00,197,44
8/13/2019,17:30:00,173,39
8/13/2019,18:00:00,158,41
8/13/2019,18:30:00,150,40
8/13/2019,19:00:00,130,36
8/13/2019,19:30:00,125,33
8/13/2019,20:00:00,122,29
8/13/2019,20:30:00,106,26
8/13/2019,21:00:00,108,27
8/13/2019,21:30:00,94,23
8/13/2019,22:00:00,74,19
8/13/2019,22:30:00,54,15
8/13/2019,23:00:00,40,13
8/13/2019,23:30:00,30,10
8/14/2019,0:00:00,27,10
8/14/2019,0:30:00,20,9
8/14/2019,1:00:00,16,7
8/14/2019,1:30:00,12,6
8/14/2019,2:00:00,9,6
8/14/2019,2:30:00,7,5
8/14/2019,3:00:00,5,5
8/14/2019,3:30:00,4,4
8/14/2019,4:00:00,4,4
8/14/2019,4:30:00,4,4
8/14/2019,5:00:00,6,5
8/14/2019,5:30:00,8,5
8/14/2019,6:00:00,13,6
8/14/2019,6:30:00,23,9
8/14/2019,7:00:00,31,12
8/14/2019,7:30:00,51,15
8/14/2019,8:00:00,99,25
8/14/2019,8:30:00,161,36
8/14/2019,9:00:00,223,48
8/14/2019,9:30:00,256,55
8/14/2019,10:00:00,261,64
8/14/2019,10:30:00,264,64
8/14/2019,11:00:00,275,66
8/14/2019,11:30:00,262,64
8/14/2019,12:00:00,248,54
8/14/2019,12:30:00,244,52
8/14/2019,13:00:00,266,56
8/14/2019,13:30:00,278,58
8/14/2019,14:00:00,258,55
8/14/2019,14:30:00,256,55
8/14/2019,15:00:00,256,55
8/14/2019,15:30:00,245,52
8/14/2019,16:00:00,236,50
8/14/2019,16:30:00,223,48
8/14/2019,17:00:00,197,44
8/14/2019,17:30:00,173,39
8/14/2019,18:00:00,158,41
8/14/2019,18:30:00,150,40
8/14/2019,19:00:00,130,36
8/14/2019,19:30:00,125,33
8/14/2019,20:00:00,122,29
8/14/2019,20:30:00,106,26
8/14/2019,21:00:00,108,27
8/14/2019,21:30:00,94,23
8/14/2019,22:00:00,74,19
8/14/2019,22:30:00,54,15
8/14/2019,23:00:00,40,13
8/14/2019,23:30:00,30,10
8/15/2019,0:00:00,27,10
8/15/2019,0:30:00,20,9
8/15/2019,1:00:00,16,7
8/15/2019,1:30:00,12,6
8/15/2019,2:00:00,9,6
8/15/2019,2:30:00,7,5
8/15/2019,3:00:00,5,5
8/15/2019,3:30:00,4,4
8/15/2019,4:00:00,4,4
8/15/2019,4:30:00,4,4
8/15/2019,5:00:00,6,5
8/15/2019,5:30:00,8,5
8/15/2019,6:00:00,13,6
8/15/2019,6:30:00,23,9
8/15/2019,7:00:00,31,12
8/15/2019,7:30:00,51,15
8/15/2019,8:00:00,99,25
8/15/2019,8:30:00,161,36
8/15/2019,9:00:00,223,48
8/15/2019,9:30:00,256,55
8/15/2019,10:00:00,261,64
8/15/2019,10:30:00,264,64
8/15/2019,11:00:00,275,66
8/15/2019,11:30:00,262,64
8/15/2019,12:00:00,248,54
8/15/2019,12:30:00,244,52
8/15/2019,13:00:00,266,56
8/15/2019,13:30:00,278,58
8/15/2019,14:00:00,258,55
8/15/2019,14:30:00,256,55
8/15/2019,15:00:00,256,55
8/15/2019,15:30:00,245,52
8/15/2019,16:00:00,236,50
8/15/2019,16:30:00,223,48
8/15/2019,17:00:00,197,44
8/15/2019,17:30:00,173,39
8/15/2019,18:00:00,158,41
8/15/2019,18:30:00,150,40
8/15/2019,19:00:00,130,36
8/15/2019,19:30:00,125,33
8/15/2019,20:00:00,122,29
8/15/2019,20:30:00,106,26
8/15/2019,21:00:00,108,27
8/15/2019,21:30:00,94,23
8/15/2019,22:00:00,74,19
8/15/2019,22:30:00,54,15
8/15/2019,23:00:00,40,13
8/15/2019,23:30:00,30,10
8/16/2019,0:00:00,27,10
8/16/2019,0:30:00,20,9
8/16/2019,1:00:00,16,7
8/16/2019,1:30:00,12,6
8/16/2019,2:00:00,9,6
8/16/2019,2:30:00,7,5
8/16/2019,3:00:00,5,5
8/16/2019,3:30:00,4,4
8/16/2019,4:00:00,4,4
8/16/2019,4:30:00,4,4
8/16/2019,5:00:00,6,5
8/16/2019,5:30:00,8,5
8/16/2019,6:00:00,13,6
8/16/2019,6:30:00,23,9
8/16/2019,7:00:00,31,12
8/16/2019,7:30:00,51,15
8/16/2019,8:00:00,99,25
8/16/2019,8:30:00,161,36
8/16/2019,9:00:00,223,48
8/16/2019,9:30:00,256,55
8/16/2019,10:00:00,261,64
8/16/2019,10:30:00,264,64
8/16/2019,11:00:00,275,66
8/16/2019,11:30:00,262,64
8/16/2019,12:00:00,248,54
8/16/2019,12:30:00,244,52
8/16/2019,13:00:00,266,56
8/16/2019,13:30:00,278,58
8/16/2019,14:00:00,258,55
8/16/2019,14:30:00,256,55
8/16/2019,15:00:00,256,55
8/16/2019,15:30:00,245,52
8/16/2019,16:00:00,236,50
8/16/2019,16:30:00,223,48
8/16/2019,17:00:00,197,44
8/16/2019,17:30:00,173,39
8/16/2019,18:00:00,158,41
8/16/2019,18:30:00,150,40
8/16/2019,19:00:00,130,36
8/16/2019,19:30:00,125,33
8/16/2019,20:00:00,122,29
8/16/2019,20:30:00,106,26
8/16/2019,21:00:00,108,27
8/16/2019,21:30:00,94,23
8/16/2019,22:00:00,74,19
8/16/2019,22:30:00,54,15
8/16/2019,23:00:00,40,13
8/16/2019,23:30:00,30,10
8/17/2019,0:00:00,23,9
8/17/2019,0:30:00,20,9
8/17/2019,1:00:00,17,7
8/17/2019,1:30:00,12,6
8/17/2019,2:00:00,8,5
8/17/2019,2:30:00,7,5
8/17/2019,3:00:00,4,4
8/17/2019,3:30:00,4,4
8/17/2019,4:00:00,4,4
8/17/2019,4:30:00,4,4
8/17/2019,5:00:00,5,5
8/17/2019,5:30:00,6,5
8/17/2019,6:00:00,11,6
8/17/2019,6:30:00,14,7
8/17/2019,7:00:00,26,10
8/17/2019,7:30:00,43,14
8/17/2019,8:00:00,81,22
8/17/2019,8:30:00,117,28
8/17/2019,9:00:00,173,39
8/17/2019,9:30:00,184,42
8/17/2019,10:00:00,178,46
8/17/2019,10:30:00,198,50
8/17/2019,11:00:00,201,50
8/17/2019,11:30:00,220,55
8/17/2019,12:00:00,186,42
8/17/2019,12:30:00,195,43
8/17/2019,13:00:00,179,40
8/17/2019,13:30:00,180,40
8/17/2019,14:00:00,169,37
8/17/2019,14:30:00,166,37
8/17/2019,15:00:00,181,40
8/17/2019,15:30:00,174,39
8/17/2019,16:00:00,155,35
8/17/2019,16:30:00,139,33
8/17/2019,17:00:00,140,33
8/17/2019,17:30:00,138,33
8/17/2019,18:00:00,124,33
8/17/2019,18:30:00,95,28
8/17/2019,19:00:00,91,26
8/17/2019,19:30:00,76,23
8/17/2019,20:00:00,78,20
8/17/2019,20:30:00,81,22
8/17/2019,21:00:00,81,22
8/17/2019,21:30:00,72,19
8/17/2019,22:00:00,59,17
8/17/2019,22:30:00,48,14
8/17/2019,23:00:00,38,13
8/17/2019,23:30:00,23,9
8/18/2019,0:00:00,30,10
8/18/2019,0:30:00,14,7
8/18/2019,1:00:00,13,6
8/18/2019,1:30:00,11,6
